Step,Reward,Total Mean,Total Reward
279605,550,372.1858639,284350
279980,450,372.2875817,284800
280297,350,372.2584856,285150
280714,450,372.3598435,285600
281026,250,372.2005208,285850
281313,250,372.0416125,286100
281574,250,371.8831169,286350
282051,400,371.919585,286750
282650,650,372.2797927,287400
283095,450,372.3803364,287850
283456,400,372.4160207,288250
283896,600,372.7096774,288850
284137,250,372.5515464,289100
284438,300,372.4581725,289400
284824,300,372.3650386,289700
285189,400,372.4005135,290100
285581,350,372.3717949,290450
286129,650,372.7272727,291100
286723,650,373.0818414,291750
286997,150,372.7969349,291900
287376,300,372.7040816,292200
287800,500,372.866242,292700
288103,300,372.7735369,293000
288471,450,372.8716645,293450
288870,400,372.9060914,293850
289112,250,372.7503169,294100
289345,200,372.5316456,294300
289736,650,372.8824273,294950
290185,550,373.1060606,295500
290493,300,373.0138714,295800
290914,450,373.1108312,296250
291433,700,373.5220126,296950
291783,400,373.5552764,297350
292106,400,373.5884567,297750
292730,850,374.1854637,298600
293001,250,374.0300375,298850
293323,300,373.9375,299150
293568,200,373.7203496,299350
293873,250,373.5660848,299600
294435,750,374.0348692,300350
294720,250,373.880597,300600
295393,750,374.3478261,301350
295831,400,374.3796526,301750
296322,450,374.4733581,302200
296705,400,374.5049505,302600
297044,300,374.4128554,302900
297436,250,374.2592593,303150
297748,300,374.1676942,303450
298204,550,374.3842365,304000
298473,200,374.1697417,304200
298810,400,374.2014742,304600
299238,350,374.1717791,304950
299774,750,374.6323529,305700
300184,600,374.9082007,306300
300590,400,374.9388753,306700
300884,250,374.7863248,306950
301267,450,374.8780488,307400
301704,650,375.2131547,308050
302033,400,375.243309,308450
302294,300,375.1518834,308750
302915,900,375.788835,309650
303257,400,375.8181818,310050
303631,500,375.968523,310550
303887,250,375.8162031,310800
304171,350,375.7850242,311150
304504,350,375.7539204,311500
305023,500,375.9036145,312000
305284,250,375.7521059,312250
305583,300,375.6610577,312550
305817,200,375.4501801,312750
306162,350,375.4196643,313100
306557,450,375.508982,313550
306953,300,375.4186603,313850
307411,350,375.3882915,314200
307662,250,375.2386635,314450
307925,250,375.0893921,314700
308427,600,375.3571429,315300
308717,250,375.2080856,315550
308983,150,374.9406176,315700
309522,650,375.2669039,316350
310101,500,375.4146919,316850
310465,450,375.5029586,317300
310856,450,375.5910165,317750
311150,300,375.501771,318050
311780,850,376.0613208,318900
312024,300,375.9717314,319200
312293,400,376,319600
313206,850,376.5569918,320450
313906,850,377.1126761,321300
314217,100,376.7878077,321400
314492,250,376.6393443,321650
314845,450,376.7251462,322100
315386,700,377.1028037,322800
315673,250,376.9544924,323050
316060,500,377.0979021,323550
316484,450,377.1827707,324000
316897,350,377.1511628,324350
317248,350,377.1196283,324700
317626,500,377.262181,325200
318420,950,377.9258401,326150
318731,250,377.7777778,326400
319201,800,378.265896,327200
319496,250,378.1177829,327450
319941,650,378.4313725,328100
320221,200,378.2258065,328300
320769,600,378.4810127,328900
321389,700,378.8505747,329600
321772,400,378.8748565,330000
322162,450,378.956422,330450
322599,400,378.9805269,330850
322851,0,378.5469108,330850
323158,450,378.6285714,331300
323560,450,378.7100457,331750
323813,300,378.6202965,332050
324304,500,378.7585421,332550
324870,700,379.1240046,333250
325220,250,378.9772727,333500
325715,550,379.1713961,334050
326182,650,379.478458,334700
326563,500,379.614949,335200
327017,550,379.8076923,335750
327428,500,379.9435028,336250
327849,650,380.248307,336900
328111,200,380.0450958,337100
328384,200,379.8423423,337300
328769,550,380.0337458,337850
329174,400,380.0561798,338250
329602,450,380.1346801,338700
330043,350,380.1008969,339050
330731,800,380.5711086,339850
331009,250,380.4250559,340100
331366,400,380.4469274,340500
331721,400,380.46875,340900
331972,250,380.3232999,341150
332416,550,380.5122494,341700
332868,600,380.756396,342300
333214,400,380.7777778,342700
333620,400,380.7991121,343100
333975,350,380.7649667,343450
334373,450,380.841639,343900
334720,500,380.9734513,344400
335074,450,381.0497238,344850
335374,350,381.0154525,345200
335659,400,381.0363837,345600
336163,650,381.3325991,346250
336438,300,381.2431243,346550
336847,400,381.2637363,346950
337097,300,381.1745335,347250
337381,500,381.3048246,347750
337730,300,381.2157722,348050
338134,450,381.2910284,348500
338436,400,381.3114754,348900
339003,650,381.6048035,349550
339492,600,381.8429662,350150
339958,550,382.0261438,350700
340352,350,381.9912949,351050
340701,250,381.8478261,351300
340978,200,381.65038,351500
341379,400,381.670282,351900
341757,300,381.5817985,352200
342088,350,381.547619,352550
342452,300,381.4594595,352850
342771,450,381.5334773,353300
343035,350,381.4994606,353650
343565,750,381.8965517,354400
343860,150,381.6469322,354550
344236,400,381.6666667,354950
344838,650,381.9548872,355600
345299,600,382.1888412,356200
345805,400,382.2079314,356600
346201,500,382.3340471,357100
346690,650,382.6203209,357750
347245,700,382.9594017,358450
347706,400,382.977588,358850
348149,550,383.1556503,359400
348622,700,383.4930777,360100
348918,400,383.5106383,360500
349631,1050,384.218916,361550
350249,550,384.3949045,362100
350640,450,384.4644751,362550
350942,300,384.375,362850
351347,400,384.3915344,363250
351817,450,384.4608879,363700
352218,450,384.530095,364150
352581,150,384.2827004,364300
352918,250,384.1412013,364550
353316,500,384.2631579,365050
353681,400,384.2797056,365450
354195,500,384.4012605,365950
354580,550,384.5750262,366500
354881,500,384.6960168,367000
355341,350,384.6596859,367350
355792,400,384.6757322,367750
356638,950,385.2664577,368700
356984,400,385.2818372,369100
357385,400,385.2971846,369500
357660,200,385.1041667,369700
357906,250,384.9635796,369950
358526,700,385.2910603,370650
358754,250,385.1505711,370900
359124,350,385.1141079,371250
359386,150,384.8704663,371400
359683,250,384.7308489,371650
360050,400,384.7466391,372050
360452,650,385.0206612,372700
360771,150,384.7781218,372850
361221,450,384.8453608,373300
361452,150,384.6035015,373450
361862,250,384.4650206,373700
362201,250,384.3268243,373950
