,0
609,250.0
610,500.0
611,300.0
612,250.0
613,200.0
614,300.0
615,850.0
616,250.0
617,400.0
618,300.0
619,250.0
620,450.0
621,550.0
622,250.0
623,300.0
624,400.0
625,250.0
626,300.0
627,150.0
628,250.0
629,250.0
630,950.0
631,100.0
632,150.0
633,400.0
634,200.0
635,300.0
636,300.0
637,100.0
638,200.0
639,150.0
640,200.0
641,300.0
642,300.0
643,200.0
644,150.0
645,300.0
646,650.0
647,100.0
648,550.0
649,300.0
650,350.0
651,700.0
652,300.0
653,150.0
654,300.0
655,200.0
656,200.0
657,200.0
658,200.0
659,450.0
660,400.0
661,350.0
662,350.0
663,900.0
664,550.0
665,500.0
666,100.0
667,150.0
668,350.0
669,250.0
670,300.0
671,350.0
672,350.0
673,300.0
674,250.0
675,300.0
676,450.0
677,150.0
678,150.0
679,200.0
680,450.0
681,300.0
682,300.0
683,650.0
684,100.0
685,300.0
686,550.0
687,250.0
688,450.0
689,250.0
690,550.0
691,100.0
692,250.0
693,200.0
694,400.0
695,150.0
696,150.0
697,300.0
698,350.0
699,200.0
700,400.0
701,350.0
702,250.0
703,250.0
704,250.0
705,300.0
706,100.0
707,450.0
708,200.0
709,300.0
710,500.0
711,400.0
712,400.0
713,100.0
714,350.0
715,400.0
716,350.0
717,150.0
718,600.0
719,150.0
720,500.0
721,450.0
722,400.0
723,300.0
724,500.0
725,200.0
726,250.0
727,300.0
728,100.0
729,200.0
730,200.0
731,550.0
732,300.0
733,400.0
734,100.0
735,200.0
736,150.0
737,150.0
738,150.0
739,150.0
740,200.0
741,550.0
742,200.0
743,200.0
744,150.0
745,350.0
746,300.0
747,550.0
748,650.0
749,200.0
750,500.0
751,550.0
752,250.0
753,550.0
754,200.0
755,250.0
756,100.0
757,200.0
758,100.0
759,650.0
760,100.0
761,500.0
762,650.0
763,300.0
764,200.0
765,150.0
766,550.0
767,400.0
768,100.0
769,200.0
770,400.0
771,300.0
772,300.0
773,200.0
774,600.0
775,300.0
776,500.0
777,200.0
778,150.0
779,300.0
780,500.0
781,550.0
782,450.0
783,150.0
784,200.0
785,250.0
786,300.0
787,400.0
788,300.0
789,100.0
790,200.0
791,400.0
792,450.0
793,100.0
794,50.0
795,250.0
796,200.0
797,150.0
798,300.0
799,100.0
800,150.0
801,300.0
802,100.0
803,200.0
804,400.0
805,200.0
806,300.0
807,250.0
808,300.0
809,450.0
810,150.0
811,150.0
812,300.0
813,200.0
814,500.0
815,400.0
816,150.0
817,400.0
818,300.0
819,400.0
820,350.0
821,250.0
822,350.0
823,350.0
824,350.0
825,500.0
826,350.0
827,600.0
828,300.0
829,250.0
830,600.0
831,250.0
832,100.0
833,350.0
834,250.0
835,250.0
836,300.0
837,450.0
838,400.0
839,200.0
840,300.0
841,300.0
842,200.0
843,400.0
844,200.0
845,200.0
846,350.0
847,550.0
848,300.0
849,300.0
850,350.0
851,450.0
852,150.0
853,250.0
854,150.0
855,400.0
856,250.0
857,200.0
858,150.0
859,150.0
860,400.0
861,150.0
862,200.0
863,300.0
864,300.0
865,300.0
866,150.0
867,350.0
868,300.0
869,100.0
870,200.0
871,100.0
872,100.0
873,200.0
874,250.0
875,450.0
876,450.0
877,150.0
878,50.0
879,350.0
880,200.0
881,100.0
882,250.0
883,550.0
884,850.0
885,500.0
886,150.0
887,650.0
888,250.0
889,300.0
890,300.0
891,150.0
892,500.0
893,250.0
894,600.0
895,400.0
896,350.0
897,250.0
898,200.0
899,200.0
900,100.0
901,300.0
902,50.0
903,250.0
904,200.0
905,250.0
906,350.0
907,100.0
908,350.0
909,300.0
910,400.0
911,350.0
912,500.0
913,250.0
914,150.0
915,300.0
916,300.0
917,350.0
918,250.0
919,150.0
920,150.0
921,250.0
922,250.0
923,250.0
924,400.0
925,850.0
926,400.0
927,500.0
928,300.0
929,500.0
930,600.0
931,550.0
932,550.0
933,250.0
934,400.0
935,250.0
936,200.0
937,250.0
938,500.0
939,350.0
940,300.0
941,450.0
942,200.0
943,200.0
944,600.0
945,150.0
946,250.0
947,200.0
948,350.0
949,400.0
950,300.0
951,350.0
952,100.0
953,150.0
954,300.0
955,300.0
956,200.0
957,200.0
958,100.0
959,150.0
960,200.0
961,300.0
962,300.0
963,200.0
964,350.0
965,200.0
966,150.0
967,400.0
968,250.0
969,250.0
970,250.0
971,200.0
972,200.0
973,250.0
974,200.0
975,300.0
976,600.0
977,300.0
978,150.0
979,200.0
980,300.0
981,500.0
982,200.0
983,300.0
984,150.0
985,100.0
986,200.0
987,500.0
988,150.0
989,200.0
990,500.0
991,100.0
992,200.0
993,200.0
994,200.0
995,550.0
996,250.0
997,350.0
998,200.0
999,300.0
1000,300.0
1001,400.0
1002,200.0
1003,300.0
1004,200.0
1005,300.0
1006,700.0
1007,550.0
1008,100.0
1009,400.0
1010,400.0
1011,150.0
1012,100.0
1013,200.0
1014,100.0
1015,400.0
1016,50.0
1017,100.0
1018,500.0
1019,350.0
1020,350.0
1021,750.0
1022,150.0
1023,200.0
1024,200.0
1025,350.0
1026,350.0
1027,250.0
1028,200.0
1029,100.0
1030,250.0
1031,500.0
1032,350.0
1033,350.0
1034,400.0
1035,550.0
1036,450.0
1037,700.0
1038,100.0
1039,350.0
1040,400.0
1041,150.0
1042,450.0
1043,400.0
1044,300.0
1045,150.0
1046,150.0
1047,250.0
1048,200.0
1049,450.0
1050,300.0
1051,100.0
1052,150.0
1053,150.0
1054,250.0
1055,200.0
1056,200.0
1057,650.0
1058,200.0
1059,550.0
1060,200.0
1061,300.0
1062,450.0
1063,650.0
1064,100.0
1065,150.0
1066,250.0
1067,500.0
1068,800.0
1069,200.0
1070,450.0
1071,150.0
1072,250.0
1073,300.0
1074,200.0
1075,300.0
1076,550.0
1077,350.0
1078,350.0
1079,450.0
